 
Case names,Solved directly,Solved with Q support,Solved with Vset adjusted,Unsolved/Solved with reduced Pload
WECC240_v03_Mod_NewMVA_month_10_day_31_hour_16.raw,0,0,1,0
WECC240_v03_Mod_NewMVA_month_10_day_8_hour_21.raw,0,0,1,0
WECC240_v03_Mod_NewMVA_month_12_day_8_hour_19.raw,0,0,1,0
